# lambda        QE
224.97		0
230.0		2.2
240.0		6.6
250.0		11
260.0		15.34
269.9115	19.682539
280.236	        24.232803
292.0354	28.359789
305.01474	32.16931
320.64896	34.126984
332.44836	34.973545
342.1829	34.973545
351.32742	35.343914
365.48672	34.708996
376.99115	34.126984
388.49557	34.285713
405.01474	33.068783
421.82892	31.587301
431.56342	30.952381
438.64307	29.52381
450.73746	28.095238
461.35693	26.349207
470.79645	24.179893
482.89087	22.275133
494.10028	20.42328
507.66962	18.624338
517.4041	17.037037
524.48376	15.555555
531.5634	13.227513
539.23303	10.5291
551.62244	8.253968
565.78174	6.4550266
579.646		5.0793653
597.64014	3.4920635
623.00885	1.6402116
646.0177	0.8994709
667.55164	0.31746033
682.0059	0.15873016
